project_id,building_id,project_type,start_date,end_date,planned_end_date,status,estimated_cost_eur,actual_cost_eur,cost_variance_percent,subsidy_amount_eur,funding_source,contractor_name,estimated_energy_savings_percent,actual_energy_savings_percent,annual_energy_savings_kwh,project_manager,procurement_method,priority_level,works_disruption_level
251,30,Isolation thermique,2021-04-18,2021-08-20,2021-07-27,Completed,2192901.67,2421424.1,10.42,744590.51,Fonds vert,Léon Grosse,31.4,28.07,88397.0,Emma Robert,Marché négocié,Moyenne,Élevé
252,474,Isolation thermique,2024-07-19,2025-03-09,2025-01-23,Completed,1337317.66,1298988.08,-2.87,160150.87,Département,SPIE Building Solutions,33.78,27.52,95528.71,Karim Diallo,MAPA,Haute,Faible
253,53,Éclairage LED,2023-04-12,2023-10-25,2023-09-10,Completed,841014.52,909873.55,8.19,59281.38,Région,SPIE Building Solutions,9.58,10.56,111373.71,Alice Martin,Appel d'offres ouvert,Haute,Moyen
254,452,Isolation thermique,2022-03-18,2022-11-05,2022-10-04,Completed,393957.03,409143.07,3.85,116098.86,Autofinancement,SPIE Building Solutions,34.71,24.76,47340.26,Nicolas Leroy,Accord-cadre,Haute,Moyen
255,286,Remplacement du chauffage,2024-10-15,,2025-05-12,In Progress,1068216.33,827186.49,-22.56,417322.07,Fonds vert,Bouygues Bâtiment,24.4,,,Alice Martin,MAPA,Haute,Élevé
256,433,Isolation thermique,2016-08-13,2016-12-19,2016-12-03,Completed,527712.8,516207.28,-2.18,256560.65,Fonds vert,Engie Solutions,21.62,22.31,19274.94,Karim Diallo,Marché négocié,Critique,Élevé
257,207,Installation photovoltaïque,2016-07-18,2016-12-30,2017-01-09,Completed,373836.64,378902.24,1.36,53024.15,Autofinancement,Entreprise Durand,11.78,8.68,21244.72,Jean Dupont,MAPA,Basse,Faible
258,380,Installation photovoltaïque,2023-11-09,2024-05-26,2024-04-23,Completed,282766.01,277997.12,-1.69,37817.0,Union européenne,Léon Grosse,12.05,11.74,27913.2,Karim Diallo,Appel d'offres ouvert,Haute,Élevé
259,276,Éclairage LED,2018-04-25,2018-09-16,2018-09-15,Completed,409264.15,392840.3,-4.01,137883.99,Région,Groupe Martin,5.39,9.74,42183.15,Karim Diallo,Appel d'offres ouvert,Critique,Élevé
260,8,Remplacement des menuiseries,2024-04-03,,2024-07-25,In Progress,2107877.75,1139327.03,-45.95,330316.58,Autofinancement,Groupe Martin,18.16,,,Sophie Bernard,Marché négocié,Moyenne,Faible
261,108,Rénovation de toiture,2020-07-05,2020-11-12,2020-11-30,Completed,201513.28,226450.22,12.37,49684.32,ADEME,Entreprise Durand,8.28,15.42,,Alice Martin,Appel d'offres ouvert,Haute,Faible
262,46,Remplacement du chauffage,2016-05-08,2016-11-01,2016-09-10,Completed,1287038.99,1417633.61,10.15,81188.07,ADEME,Léon Grosse,16.47,16.76,89486.76,Karim Diallo,Accord-cadre,Basse,Faible
263,43,Isolation thermique,2022-04-04,2022-09-30,2022-09-07,Completed,878847.9,848032.75,-3.51,67449.04,Département,Léon Grosse,20.42,22.54,166009.38,Alice Martin,Appel d'offres ouvert,Moyenne,Élevé
264,257,Éclairage LED,2020-06-19,2020-09-11,2020-08-05,Completed,276728.86,301297.95,8.88,49813.89,Fonds vert,Léon Grosse,10.74,5.62,47486.5,Emma Robert,MAPA,Moyenne,Moyen
265,12,Rénovation de toiture,2018-03-10,2018-04-15,2018-10-24,Cancelled,1254801.99,77694.23,-93.81,24379.91,Région,Groupe Martin,7.06,,,Sophie Bernard,Accord-cadre,Critique,Faible
266,211,Isolation thermique,2016-04-16,2016-12-14,2016-12-06,Completed,967183.04,1120991.94,15.9,509593.77,Fonds vert,Groupe Martin,25.42,29.76,168155.2,Nicolas Leroy,Appel d'offres ouvert,Moyenne,Moyen
267,9,Remplacement du chauffage,2021-07-18,2021-11-01,2021-11-03,Completed,1647174.68,1595106.44,-3.16,791568.29,ADEME,Eiffage Énergie,28.28,16.33,,Nicolas Leroy,MAPA,Moyenne,Faible
268,333,Remplacement des menuiseries,2016-07-06,2017-02-10,2017-02-09,Completed,1003624.32,980362.15,-2.32,146606.22,Fonds vert,VINCI Facilities,10.03,20.6,244537.15,Nicolas Leroy,Marché négocié,Moyenne,Élevé
269,224,Isolation thermique,2021-02-18,2021-06-04,2021-05-25,Completed,798275.52,786417.93,-1.49,279975.62,Fonds vert,Eiffage Énergie,22.35,27.1,89231.84,Alice Martin,Marché négocié,Basse,Élevé
270,3,Isolation thermique,2017-06-22,2017-10-27,2017-11-01,Completed,1110957.01,1030393.51,-7.25,566071.99,Fonds vert,Entreprise Durand,27.82,20.21,159257.44,Nicolas Leroy,Marché négocié,Basse,Moyen
271,500,Ventilation double flux,2022-07-09,2022-11-10,2022-10-14,Completed,662954.6,615533.65,-7.15,9272.96,ADEME,Groupe Martin,13.14,18.33,114970.03,Sophie Bernard,Accord-cadre,Critique,Moyen
272,251,Rénovation de toiture,2022-06-23,2022-08-18,2022-08-17,Completed,1353014.08,1245047.89,-7.98,586996.69,Union européenne,Groupe Martin,7.63,12.65,232078.05,Nicolas Leroy,Marché négocié,Moyenne,Faible
273,350,Isolation thermique,2023-07-24,2024-02-06,2023-12-13,Completed,2005028.6,1952977.42,-2.6,194442.89,Union européenne,VINCI Facilities,18.96,41.73,466991.81,Alice Martin,Appel d'offres ouvert,Haute,Faible
274,165,Rénovation de toiture,2024-05-16,2025-02-05,2025-01-17,Completed,704239.24,790679.94,12.27,204040.55,ADEME,Engie Solutions,11.86,14.25,,Emma Robert,Accord-cadre,Moyenne,Faible
275,387,Remplacement des menuiseries,2024-06-09,2024-08-04,2025-01-31,Cancelled,1002194.14,64807.66,-93.53,327.49,Union européenne,SPIE Building Solutions,11.8,,,Alice Martin,Accord-cadre,Haute,Élevé
276,24,Remplacement du chauffage,2025-05-05,,2025-12-06,Planned,953969.61,,,7544.95,Autofinancement,Engie Solutions,19.67,,,Karim Diallo,Appel d'offres ouvert,Moyenne,Moyen
277,296,Ventilation double flux,2024-06-04,2024-10-15,2024-08-29,Completed,835665.69,951257.91,13.83,397216.01,Région,VINCI Facilities,11.51,19.75,265128.52,Sophie Bernard,Appel d'offres ouvert,Basse,Élevé
278,462,Ventilation double flux,2018-01-18,2018-09-13,2018-07-27,Completed,273663.24,290781.51,6.26,95291.42,ADEME,VINCI Facilities,18.07,18.87,22449.14,Sophie Bernard,Accord-cadre,Haute,Faible
279,74,Remplacement du chauffage,2021-08-05,2021-12-15,2021-12-01,Completed,777449.75,806651.85,3.76,309735.02,Autofinancement,Groupe Martin,25.63,18.0,169416.52,Emma Robert,MAPA,Moyenne,Faible
280,471,Rénovation de toiture,2024-10-22,2025-06-04,2025-06-07,Completed,776604.87,872442.53,12.34,89887.13,Fonds vert,Entreprise Durand,6.8,15.85,116570.47,Karim Diallo,Appel d'offres ouvert,Moyenne,Élevé
281,388,Remplacement du chauffage,2022-11-01,2023-07-28,2023-08-03,Completed,491566.38,479799.6,-2.39,18128.02,Région,Entreprise Durand,18.7,23.02,25248.82,Alice Martin,MAPA,Haute,Élevé
282,283,Isolation thermique,2020-04-15,2020-10-21,2020-10-30,Completed,1083005.48,1193035.04,10.16,488814.81,ADEME,SPIE Building Solutions,33.32,15.6,16573.47,Sophie Bernard,MAPA,Moyenne,Moyen
283,29,Remplacement du chauffage,2023-11-10,2024-08-24,2024-08-15,Completed,1487731.37,1402540.42,-5.73,85822.43,Union européenne,VINCI Facilities,27.22,23.34,383410.85,Jean Dupont,Marché négocié,Basse,Moyen
284,383,Éclairage LED,2023-02-12,2023-10-04,2023-09-21,Completed,342199.7,363581.13,6.25,109678.3,Autofinancement,Engie Solutions,7.67,9.43,34839.06,Jean Dupont,Marché négocié,Moyenne,Moyen
285,427,Isolation thermique,2022-07-12,2022-11-22,2022-11-24,Completed,814302.35,813685.85,-0.08,209324.98,Région,Engie Solutions,26.93,26.02,157158.61,Jean Dupont,Marché négocié,Moyenne,Élevé
286,476,Isolation thermique,2025-03-10,,2025-09-03,In Progress,517150.76,333967.96,-35.42,9652.39,Union européenne,Léon Grosse,30.58,,,Karim Diallo,Appel d'offres ouvert,Moyenne,Faible
287,186,Isolation thermique,2024-08-10,2025-02-06,2025-01-22,Completed,183286.99,186512.82,1.76,62321.06,Département,VINCI Facilities,30.85,30.28,18339.44,Jean Dupont,Accord-cadre,Moyenne,Faible
288,47,Éclairage LED,2022-04-22,2022-07-13,2022-06-15,Completed,1368872.62,1240485.28,-9.38,158543.75,Fonds vert,Entreprise Durand,9.03,9.1,193492.45,Nicolas Leroy,Appel d'offres ouvert,Haute,Moyen
289,357,Remplacement des menuiseries,2024-07-12,2025-03-22,2025-04-05,Completed,2054810.7,1990644.65,-3.12,859095.77,Région,Eiffage Énergie,18.92,13.39,63673.07,Sophie Bernard,Marché négocié,Moyenne,Élevé
290,474,Remplacement du chauffage,2025-10-02,,2026-01-07,In Progress,828148.98,527386.59,-36.32,50811.3,Fonds vert,VINCI Facilities,22.72,,,Sophie Bernard,MAPA,Moyenne,Moyen
291,459,Remplacement du chauffage,2025-07-17,2026-03-09,2026-01-16,Completed,1175152.38,1220109.6,3.83,252897.73,Région,Engie Solutions,22.75,12.97,98872.9,Karim Diallo,Marché négocié,Moyenne,Faible
292,21,Éclairage LED,2025-05-14,,2025-12-21,Planned,642808.26,,,67796.91,Union européenne,Entreprise Durand,6.03,,,Nicolas Leroy,Appel d'offres ouvert,Moyenne,Faible
293,229,Remplacement des menuiseries,2022-04-07,2022-08-26,2022-07-28,Completed,185038.03,211520.36,14.31,73048.12,Département,VINCI Facilities,7.3,8.89,6745.15,Karim Diallo,MAPA,Moyenne,Élevé
294,65,Éclairage LED,2024-06-23,2025-03-03,2025-01-24,Completed,210223.02,240316.3,14.31,47881.53,Union européenne,VINCI Facilities,3.13,8.78,12335.85,Nicolas Leroy,Marché négocié,Haute,Faible
295,474,Éclairage LED,2025-08-11,,2026-02-28,Planned,473411.78,,,170052.17,Autofinancement,Engie Solutions,7.66,,,Karim Diallo,MAPA,Moyenne,Élevé
296,50,Installation photovoltaïque,2015-09-25,2015-12-18,2015-12-01,Completed,463723.79,418544.47,-9.74,140408.23,Département,Groupe Martin,13.9,14.39,108697.47,Emma Robert,Marché négocié,Moyenne,Moyen
297,396,Isolation thermique,2023-08-17,2024-03-09,2024-01-15,Completed,759682.07,791133.31,4.14,383739.82,ADEME,SPIE Building Solutions,26.93,29.58,81230.28,Sophie Bernard,MAPA,Moyenne,Élevé
298,294,Remplacement des menuiseries,2023-06-04,2023-12-12,2023-11-26,Completed,309149.56,283366.71,-8.34,1818.66,Département,Eiffage Énergie,7.56,23.46,69573.37,Nicolas Leroy,Marché négocié,Moyenne,Moyen
299,22,Remplacement du chauffage,2019-10-08,2020-01-18,2019-12-13,Completed,2433487.97,2299096.0,-5.52,168140.71,Autofinancement,Engie Solutions,21.5,34.53,,Emma Robert,MAPA,Haute,Moyen
300,93,Remplacement du chauffage,2024-06-24,2024-08-31,2024-08-31,Cancelled,694091.71,21034.46,-96.97,211.73,Union européenne,Eiffage Énergie,29.8,,,Nicolas Leroy,Appel d'offres ouvert,Haute,Moyen
301,371,Éclairage LED,2022-05-12,2022-09-19,2022-08-03,Completed,1270678.0,1313733.96,3.39,377794.14,Fonds vert,Groupe Martin,6.64,3.65,43781.13,Jean Dupont,Appel d'offres ouvert,Moyenne,Moyen
302,472,Éclairage LED,2018-11-17,2019-01-18,2019-01-26,Completed,1109931.19,1047815.31,-5.6,575417.02,Union européenne,Entreprise Durand,4.43,8.8,73631.3,Alice Martin,Marché négocié,Moyenne,Faible
303,141,Isolation thermique,2022-10-02,2023-04-23,2023-04-02,Completed,2431078.79,2280953.46,-6.18,1162962.25,Union européenne,Léon Grosse,29.39,22.45,457016.81,Jean Dupont,MAPA,Haute,Faible
304,71,Rénovation de toiture,2020-08-21,2020-11-04,2020-10-13,Completed,160925.11,155124.4,-3.6,27814.98,Autofinancement,Bouygues Bâtiment,11.24,12.25,7040.42,Alice Martin,Accord-cadre,Moyenne,Moyen
305,246,Isolation thermique,2023-05-13,2024-02-04,2024-01-07,Completed,1600358.84,1609463.2,0.57,508392.73,ADEME,Groupe Martin,33.4,17.69,65114.28,Alice Martin,MAPA,Moyenne,Élevé
306,395,Isolation thermique,2020-07-15,2020-11-17,2020-11-12,Completed,511219.13,514221.52,0.59,121121.83,Département,Bouygues Bâtiment,27.75,38.61,102453.24,Sophie Bernard,Accord-cadre,Moyenne,Moyen
307,156,Éclairage LED,2025-06-09,2025-06-23,2026-02-28,Cancelled,249441.59,5921.47,-97.63,841.41,Union européenne,Entreprise Durand,7.68,,,Nicolas Leroy,Accord-cadre,Moyenne,Faible
308,141,Remplacement du chauffage,2023-05-14,2024-02-12,2024-01-15,Completed,3007486.8,3425431.21,13.9,546734.43,Région,Bouygues Bâtiment,25.91,18.18,370092.01,Karim Diallo,MAPA,Moyenne,Élevé
309,188,Rénovation de toiture,2020-06-08,2021-03-07,2021-03-10,Completed,792644.58,814556.32,2.76,396254.61,Union européenne,Bouygues Bâtiment,15.28,8.85,75992.47,Sophie Bernard,Appel d'offres ouvert,Moyenne,Moyen
310,10,Rénovation de toiture,2025-04-24,,2025-10-26,In Progress,901523.75,361188.59,-59.94,103998.39,ADEME,Groupe Martin,8.23,,,Emma Robert,MAPA,Moyenne,Moyen
311,73,Isolation thermique,2016-08-03,2017-04-23,2017-03-25,Completed,890062.77,904263.43,1.6,269358.78,Fonds vert,Eiffage Énergie,30.24,36.68,,Sophie Bernard,MAPA,Critique,Faible
312,115,Remplacement du chauffage,2017-07-11,2017-10-27,2017-11-08,Completed,1223496.2,1250075.47,2.17,38546.18,Union européenne,Bouygues Bâtiment,12.56,30.43,195763.09,Karim Diallo,MAPA,Basse,Moyen
313,420,Éclairage LED,2023-11-07,2024-02-21,2024-02-21,Completed,120858.83,130881.27,8.29,52455.68,Autofinancement,VINCI Facilities,6.58,4.57,8423.62,Sophie Bernard,MAPA,Moyenne,Faible
314,249,Isolation thermique,2016-08-22,2017-02-06,2017-01-21,Completed,69255.77,71954.12,3.9,33942.97,Union européenne,Groupe Martin,20.07,13.4,2141.82,Alice Martin,Marché négocié,Haute,Faible
315,134,Remplacement des menuiseries,2025-05-21,2025-09-03,2025-08-26,Completed,1332882.37,1445950.09,8.48,275555.57,Région,Engie Solutions,10.82,16.43,,Karim Diallo,Marché négocié,Haute,Moyen
316,152,Installation photovoltaïque,2025-03-03,,2025-05-11,In Progress,252422.99,166973.05,-33.85,48903.76,ADEME,Groupe Martin,13.02,,,Alice Martin,Accord-cadre,Moyenne,Moyen
317,212,Éclairage LED,2021-07-08,2022-01-14,2021-11-30,Completed,585830.85,560151.39,-4.38,299738.07,ADEME,SPIE Building Solutions,4.96,3.54,20614.03,Alice Martin,MAPA,Moyenne,Faible
318,9,Rénovation de toiture,2023-03-04,2023-07-28,2023-07-08,Completed,1782276.82,2014235.52,13.01,847654.09,ADEME,SPIE Building Solutions,6.65,9.42,,Nicolas Leroy,Marché négocié,Basse,Faible
319,405,Éclairage LED,2025-11-18,,2026-07-25,In Progress,428098.22,220312.96,-48.54,121170.47,Union européenne,Eiffage Énergie,5.52,,,Jean Dupont,Marché négocié,Critique,Élevé
320,365,Remplacement des menuiseries,2025-05-24,,2025-08-28,In Progress,261831.01,108007.83,-58.75,18381.53,Région,Engie Solutions,15.3,,,Jean Dupont,Accord-cadre,Haute,Moyen
321,466,Remplacement du chauffage,2023-05-25,2024-01-16,2024-02-01,Completed,1222427.45,1340099.05,9.63,62389.59,Union européenne,Eiffage Énergie,17.84,21.88,436454.11,Sophie Bernard,MAPA,Moyenne,Faible
322,35,Éclairage LED,2021-03-02,2021-05-27,2021-05-03,Completed,764807.82,882690.95,15.41,220503.86,Département,Groupe Martin,4.33,9.18,158718.52,Nicolas Leroy,Accord-cadre,Basse,Moyen
323,46,Isolation thermique,2022-07-21,2023-04-04,2023-03-03,Completed,714613.02,769094.39,7.62,313105.15,Département,Léon Grosse,26.95,35.64,190292.84,Emma Robert,Marché négocié,Moyenne,Faible
324,193,Remplacement du chauffage,2025-10-13,2026-04-01,2026-02-19,Completed,957138.23,915491.89,-4.35,185450.01,Département,Bouygues Bâtiment,25.43,33.27,,Nicolas Leroy,Accord-cadre,Moyenne,Élevé
325,222,Isolation thermique,2022-01-19,2022-06-19,2022-05-26,Completed,2531923.85,2832118.95,11.86,738818.18,Union européenne,SPIE Building Solutions,34.21,35.91,851761.36,Nicolas Leroy,Marché négocié,Critique,Moyen
326,476,Remplacement du chauffage,2025-08-14,,2026-01-19,Planned,774753.95,,,105431.86,Fonds vert,Groupe Martin,12.63,,,Emma Robert,Accord-cadre,Critique,Élevé
327,95,Isolation thermique,2019-03-04,2019-05-08,2019-05-01,Completed,1014636.38,1020767.69,0.6,96444.46,Autofinancement,Entreprise Durand,25.98,37.76,526341.2,Sophie Bernard,Marché négocié,Moyenne,Faible
328,464,Installation photovoltaïque,2017-04-04,2017-06-26,2017-05-25,Completed,738433.59,774515.76,4.89,35442.84,ADEME,Léon Grosse,6.65,15.81,183482.32,Alice Martin,Marché négocié,Moyenne,Faible
329,408,Isolation thermique,2022-10-06,2023-05-21,2023-04-17,Completed,724092.41,814515.15,12.49,117520.47,Département,Entreprise Durand,18.77,29.85,128766.65,Nicolas Leroy,MAPA,Haute,Élevé
330,91,Isolation thermique,2019-08-06,2020-06-06,2020-05-07,Completed,1113404.58,1236068.81,11.02,442082.11,ADEME,Entreprise Durand,27.97,37.67,92830.26,Emma Robert,Appel d'offres ouvert,Haute,Élevé
331,97,Isolation thermique,2025-10-18,,2026-05-08,Planned,597969.48,,,328286.64,Fonds vert,Léon Grosse,29.41,,,Jean Dupont,Marché négocié,Haute,Élevé
332,257,Remplacement du chauffage,2025-02-18,2025-11-14,2025-11-23,Completed,727296.76,747940.07,2.84,264031.52,Région,SPIE Building Solutions,21.27,31.01,262020.69,Nicolas Leroy,Accord-cadre,Moyenne,Faible
333,97,Rénovation de toiture,2025-10-10,,2025-11-26,Planned,540916.17,,,104850.76,Département,VINCI Facilities,7.17,,,Sophie Bernard,Appel d'offres ouvert,Moyenne,Élevé
334,371,Isolation thermique,2025-03-01,,2025-05-28,Planned,3225473.99,,,712458.97,Département,Engie Solutions,33.06,,,Emma Robert,Accord-cadre,Moyenne,Moyen
335,116,Remplacement du chauffage,2020-12-16,2021-08-11,2021-07-13,Completed,2307750.84,2637176.73,14.27,366732.5,Département,Entreprise Durand,26.5,38.83,,Nicolas Leroy,MAPA,Haute,Moyen
336,166,Remplacement du chauffage,2025-06-21,2025-12-04,2025-12-04,Completed,433068.82,418312.04,-3.41,187838.95,Département,Bouygues Bâtiment,22.11,30.44,76015.02,Alice Martin,Appel d'offres ouvert,Haute,Faible
337,3,Ventilation double flux,2018-07-24,2019-03-04,2019-01-11,Completed,1296219.89,1290136.97,-0.47,290518.69,Autofinancement,SPIE Building Solutions,20.02,9.67,76200.86,Jean Dupont,Appel d'offres ouvert,Moyenne,Faible
338,369,Isolation thermique,2024-05-24,,2025-02-04,In Progress,711624.43,508396.46,-28.56,62531.56,Union européenne,Groupe Martin,17.33,,,Emma Robert,Marché négocié,Basse,Faible
339,401,Remplacement des menuiseries,2024-08-21,2025-01-30,2024-12-09,Completed,403734.89,383403.95,-5.04,25329.78,Union européenne,Engie Solutions,17.99,14.18,68347.02,Alice Martin,Marché négocié,Haute,Faible
340,452,Installation photovoltaïque,2025-06-03,2025-11-23,2025-12-04,Completed,143034.35,137870.26,-3.61,2588.31,Autofinancement,Léon Grosse,6.21,9.18,17551.84,Nicolas Leroy,Accord-cadre,Critique,Élevé
341,34,Remplacement du chauffage,2020-04-23,2020-11-11,2020-10-13,Completed,1104505.47,1231443.99,11.49,297560.33,Union européenne,Engie Solutions,18.26,30.31,,Karim Diallo,Appel d'offres ouvert,Moyenne,Élevé
342,57,Éclairage LED,2024-09-20,2024-11-05,2024-11-10,Completed,452559.76,449865.43,-0.6,228181.95,Fonds vert,SPIE Building Solutions,10.23,4.55,,Emma Robert,MAPA,Haute,Moyen
343,475,Remplacement du chauffage,2021-02-19,2021-07-03,2021-06-27,Completed,433722.96,415049.27,-4.31,57245.77,ADEME,VINCI Facilities,29.04,22.41,26947.61,Jean Dupont,Appel d'offres ouvert,Moyenne,Moyen
344,450,Rénovation de toiture,2017-06-08,2018-01-07,2017-11-28,Completed,411722.86,468995.4,13.91,66057.92,Union européenne,Entreprise Durand,12.96,9.14,21050.92,Jean Dupont,Appel d'offres ouvert,Basse,Moyen
345,426,Ventilation double flux,2020-03-15,2020-07-05,2020-07-18,Completed,1886034.15,2077458.44,10.15,700077.87,Autofinancement,SPIE Building Solutions,11.23,7.46,100699.39,Alice Martin,MAPA,Moyenne,Moyen
346,382,Remplacement du chauffage,2025-05-06,,2025-11-25,Planned,1178095.56,,,137096.8,ADEME,VINCI Facilities,12.31,,,Nicolas Leroy,Appel d'offres ouvert,Haute,Faible
347,462,Isolation thermique,2025-06-04,,2026-02-24,In Progress,249419.21,164503.85,-34.05,32881.47,ADEME,Groupe Martin,30.38,,,Nicolas Leroy,Marché négocié,Basse,Élevé
348,31,Remplacement des menuiseries,2023-05-16,2024-01-13,2023-12-30,Completed,287720.64,269417.26,-6.36,85949.72,ADEME,Engie Solutions,13.08,7.33,3621.13,Alice Martin,Marché négocié,Moyenne,Faible
349,52,Remplacement du chauffage,2023-05-01,2023-09-14,2023-07-22,Completed,552471.12,515802.35,-6.64,282609.67,Département,Engie Solutions,27.79,24.11,95624.96,Alice Martin,Accord-cadre,Basse,Moyen
350,462,Installation photovoltaïque,2025-09-01,2025-11-08,2026-02-06,Cancelled,221219.44,23764.99,-89.26,4336.76,ADEME,Bouygues Bâtiment,10.3,,,Karim Diallo,Marché négocié,Haute,Faible
351,111,Remplacement des menuiseries,2021-05-12,2021-08-05,2021-07-13,Completed,863655.82,786372.79,-8.95,397411.8,Région,SPIE Building Solutions,8.45,21.46,169904.13,Sophie Bernard,Accord-cadre,Moyenne,Moyen
352,33,Remplacement des menuiseries,2025-06-07,,2025-08-31,Planned,1757559.61,,,811042.45,Département,Engie Solutions,14.27,,,Emma Robert,Marché négocié,Moyenne,Élevé
353,59,Remplacement du chauffage,2023-03-20,2023-11-16,2023-10-09,Completed,992379.72,930111.79,-6.27,245960.79,Région,Entreprise Durand,19.98,16.2,57501.53,Nicolas Leroy,Marché négocié,Haute,Moyen
354,77,Remplacement du chauffage,2020-07-23,2021-02-02,2020-12-13,Completed,827455.39,910229.17,10.0,496618.76,Autofinancement,Léon Grosse,16.32,35.7,314140.92,Alice Martin,Marché négocié,Moyenne,Faible
355,190,Isolation thermique,2024-08-07,2024-10-08,2024-10-26,Completed,1129364.68,1220245.67,8.05,64318.26,Union européenne,Engie Solutions,26.13,24.86,166903.05,Nicolas Leroy,MAPA,Haute,Moyen
356,137,Remplacement des menuiseries,2025-01-11,2025-02-27,2025-05-12,Cancelled,922583.99,105985.56,-88.51,48735.03,Autofinancement,SPIE Building Solutions,19.95,,,Alice Martin,Accord-cadre,Moyenne,Moyen
357,287,Remplacement des menuiseries,2018-03-20,2018-04-20,2018-07-02,Cancelled,317577.73,14514.11,-95.43,4812.31,Département,Entreprise Durand,17.75,,,Sophie Bernard,MAPA,Moyenne,Moyen
358,404,Remplacement des menuiseries,2025-04-23,,2025-08-31,In Progress,363407.34,261195.44,-28.13,79134.18,Département,VINCI Facilities,18.78,,,Karim Diallo,Appel d'offres ouvert,Moyenne,Moyen
359,483,Remplacement des menuiseries,2025-04-22,,2025-06-21,In Progress,416512.79,245703.98,-41.01,36967.45,ADEME,SPIE Building Solutions,19.43,,,Alice Martin,Marché négocié,Moyenne,Moyen
360,440,Isolation thermique,2023-06-20,2023-11-17,2023-10-24,Completed,207012.41,197043.4,-4.82,107551.81,Département,Bouygues Bâtiment,27.96,19.15,22643.16,Nicolas Leroy,MAPA,Haute,Faible
361,255,Installation photovoltaïque,2022-03-04,2022-07-14,2022-07-01,Completed,726640.74,839233.59,15.49,296271.86,Fonds vert,Groupe Martin,9.13,9.92,9545.35,Alice Martin,Marché négocié,Haute,Élevé
362,169,Rénovation de toiture,2020-07-09,2021-05-09,2021-03-24,Completed,226528.17,210864.8,-6.91,27879.93,Autofinancement,Entreprise Durand,7.28,9.09,7017.55,Karim Diallo,Appel d'offres ouvert,Haute,Faible
363,89,Remplacement du chauffage,2020-02-04,2020-06-02,2020-06-10,Completed,392693.49,404172.71,2.92,14749.14,ADEME,Bouygues Bâtiment,15.59,20.73,61972.89,Nicolas Leroy,Appel d'offres ouvert,Moyenne,Moyen
364,31,Remplacement du chauffage,2025-04-17,,2025-06-02,In Progress,402930.57,175157.29,-56.53,46684.1,Département,Eiffage Énergie,18.02,,,Jean Dupont,Appel d'offres ouvert,Moyenne,Moyen
365,237,Remplacement du chauffage,2025-08-10,,2026-01-06,In Progress,1455564.57,934976.86,-35.77,195896.67,Union européenne,VINCI Facilities,15.9,,,Nicolas Leroy,Appel d'offres ouvert,Moyenne,Moyen
366,46,Remplacement du chauffage,2025-03-25,,2025-09-14,Planned,988174.78,,,233142.15,ADEME,Entreprise Durand,22.33,,,Jean Dupont,Accord-cadre,Basse,Moyen
367,301,Remplacement du chauffage,2025-04-17,2025-08-23,2025-08-15,Completed,2142183.98,2297487.56,7.25,415485.22,ADEME,VINCI Facilities,27.62,16.24,302537.8,Jean Dupont,Appel d'offres ouvert,Moyenne,Élevé
368,100,Isolation thermique,2024-04-21,2024-10-01,2024-08-25,Completed,519726.9,517932.21,-0.35,127449.61,Autofinancement,VINCI Facilities,22.03,20.64,,Jean Dupont,MAPA,Basse,Moyen
369,421,Rénovation de toiture,2025-07-23,,2026-03-27,Planned,177173.82,,,8653.65,Autofinancement,VINCI Facilities,10.14,,,Sophie Bernard,Appel d'offres ouvert,Haute,Faible
370,79,Remplacement du chauffage,2024-05-23,2024-10-26,2024-11-03,Completed,255529.7,263250.76,3.02,90691.99,Union européenne,Eiffage Énergie,26.28,12.38,11316.12,Alice Martin,Accord-cadre,Haute,Faible
371,319,Remplacement des menuiseries,2025-06-06,,2026-01-10,Planned,1213813.25,,,195819.23,Département,Bouygues Bâtiment,18.36,,,Jean Dupont,MAPA,Haute,Moyen
372,160,Remplacement des menuiseries,2025-12-24,2026-03-13,2026-03-11,Completed,499242.79,518701.22,3.9,12611.32,Département,Entreprise Durand,7.28,11.19,68659.47,Jean Dupont,MAPA,Moyenne,Moyen
373,325,Isolation thermique,2020-02-24,2020-05-09,2020-05-26,Completed,1252024.21,1418087.03,13.26,562510.05,Département,Entreprise Durand,34.58,18.58,84595.96,Nicolas Leroy,MAPA,Moyenne,Moyen
374,489,Ventilation double flux,2020-03-05,2021-01-03,2020-11-23,Completed,410302.89,440614.98,7.39,42886.46,ADEME,Groupe Martin,7.29,20.22,74945.42,Emma Robert,Marché négocié,Haute,Moyen
375,29,Rénovation de toiture,2024-03-18,2024-06-30,2024-05-31,Completed,986737.38,940377.26,-4.7,443508.89,ADEME,Léon Grosse,6.17,18.45,303081.84,Nicolas Leroy,Marché négocié,Haute,Moyen
376,494,Rénovation de toiture,2023-06-09,2023-12-27,2023-11-26,Completed,864547.94,789821.75,-8.64,21841.57,Département,Eiffage Énergie,17.95,6.94,66810.24,Sophie Bernard,Appel d'offres ouvert,Moyenne,Moyen
377,208,Isolation thermique,2022-05-17,2022-10-05,2022-10-17,Completed,417360.98,478357.13,14.61,219618.41,Région,Bouygues Bâtiment,17.12,27.26,,Nicolas Leroy,Appel d'offres ouvert,Critique,Moyen
